n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1100,"[24, 0, 1100, 31005, 29583, 1101, 1, 5449, 5081, 1, 1100, 25924, 24120, 718, 0, 1936, 1883, 2, 1100, 24041, 22132, 613, 0, 983, 968, 3, 1100, 23073, 21099, 548, 0, 554, 547, 4, 1100, 22526, 20529, 525, 0, 365, 360, 5, 1100, 22166, 20142, 498, 0, 228, 227, 6, 1100, 21939, 19905, 488, 0, 152, 150, 7, 1100, 21789, 19750, 483, 0, 106, 106, 8, 1100, 21683, 19642, 481, 0, 82, 81, 9, 1100, 21602, 19560, 480, 0, 58, 58, 10, 1100, 21544, 19501, 479, 0, 41, 41, 11, 1100, 21503, 19459, 478, 0, 27, 27, 12, 1100, 21476, 19430, 476, 0, 25, 25, 13, 1100, 21451, 19403, 474, 0, 19, 19, 14, 1100, 21432, 19384, 474, 0, 8, 8, 15, 1100, 21424, 19374, 472, 0, 2, 2, 16, 1100, 21422, 19372, 472, 0, 2, 2, 17, 1100, 21420, 19370, 472, 0, 2, 2, 18, 1100, 21418, 19368, 472, 0, 2, 2, 19, 1100, 21416, 19366, 472, 0, 1, 1, 20, 1100, 21415, 19365, 472, 0, 1, 1, 21, 1100, 21414, 19364, 472, 0, 2, 2, 22, 1100, 21412, 19362, 472, 0, 1, 1, 23, 1100, 21411, 19361, 472, 0, 2, 2, 24, 1100, 21409, 19359, 472, 0, 0, 0]"
1200,"[32, 0, 1200, 35351, 34059, 1158, 0, 6117, 5742, 1, 1200, 29609, 27925, 766, 0, 2207, 2138, 2, 1200, 27471, 25643, 622, 0, 1064, 1040, 3, 1200, 26431, 24554, 573, 0, 582, 573, 4, 1200, 25858, 23957, 549, 0, 343, 340, 5, 1200, 25518, 23598, 530, 0, 221, 220, 6, 1200, 25298, 23366, 518, 0, 140, 138, 7, 1200, 25160, 23225, 515, 0, 82, 81, 8, 1200, 25079, 23138, 509, 0, 45, 45, 9, 1200, 25034, 23091, 507, 0, 28, 28, 10, 1200, 25006, 23062, 506, 0, 21, 21, 11, 1200, 24985, 23040, 505, 0, 13, 13, 12, 1200, 24972, 23027, 505, 0, 9, 8, 13, 1200, 24964, 23019, 505, 0, 7, 7, 14, 1200, 24957, 23012, 505, 0, 2, 2, 15, 1200, 24955, 23010, 505, 0, 1, 1, 16, 1200, 24954, 23009, 505, 0, 2, 2, 17, 1200, 24952, 23007, 505, 0, 3, 3, 18, 1200, 24949, 23004, 505, 0, 3, 3, 19, 1200, 24946, 23001, 505, 0, 2, 2, 20, 1200, 24944, 22999, 505, 0, 2, 2, 21, 1200, 24942, 22997, 505, 0, 1, 1, 22, 1200, 24941, 22996, 505, 0, 1, 1, 23, 1200, 24940, 22995, 505, 0, 1, 1, 24, 1200, 24939, 22994, 505, 0, 2, 2, 25, 1200, 24937, 22992, 505, 0, 3, 3, 26, 1200, 24934, 22989, 505, 0, 5, 4, 27, 1200, 24930, 22985, 505, 0, 3, 3, 28, 1200, 24927, 22982, 505, 0, 2, 2, 29, 1200, 24925, 22980, 505, 0, 2, 2, 30, 1200, 24923, 22978, 505, 0, 3, 3, 31, 1200, 24920, 22975, 505, 0, 3, 3, 32, 1200, 24917, 22972, 505, 0, 0, 0]"
1300,"[17, 0, 1300, 39685, 38095, 1274, 3, 6888, 6482, 1, 1300, 33203, 31150, 810, 2, 2472, 2395, 2, 1300, 30808, 28613, 668, 2, 1187, 1173, 3, 1300, 29635, 27396, 624, 2, 664, 654, 4, 1300, 28981, 26705, 585, 0, 419, 413, 5, 1300, 28568, 26281, 574, 0, 267, 266, 6, 1300, 28302, 26005, 564, 0, 161, 160, 7, 1300, 28142, 25832, 551, 0, 127, 127, 8, 1300, 28015, 25697, 543, 0, 88, 88, 9, 1300, 27927, 25608, 542, 0, 72, 72, 10, 1300, 27855, 25534, 540, 0, 55, 55, 11, 1300, 27800, 25477, 538, 0, 33, 33, 12, 1300, 27767, 25444, 538, 0, 23, 23, 13, 1300, 27744, 25420, 537, 0, 12, 12, 14, 1300, 27732, 25408, 537, 0, 12, 11, 15, 1300, 27721, 25397, 537, 0, 10, 10, 16, 1300, 27711, 25387, 537, 0, 3, 3, 17, 1300, 27708, 25384, 537, 0, 0, 0]"
1400,"[19, 0, 1400, 44538, 42773, 1435, 0, 7810, 7368, 1, 1400, 37170, 34898, 928, 0, 2790, 2709, 2, 1400, 34461, 32034, 773, 0, 1347, 1328, 3, 1400, 33133, 30647, 714, 0, 735, 727, 4, 1400, 32406, 29893, 687, 0, 418, 415, 5, 1400, 31991, 29457, 666, 0, 267, 264, 6, 1400, 31727, 29178, 651, 0, 162, 162, 7, 1400, 31565, 29014, 649, 0, 118, 117, 8, 1400, 31448, 28893, 645, 0, 85, 85, 9, 1400, 31363, 28806, 643, 0, 53, 53, 10, 1400, 31310, 28748, 638, 0, 32, 32, 11, 1400, 31278, 28715, 637, 0, 23, 23, 12, 1400, 31255, 28691, 636, 0, 15, 15, 13, 1400, 31240, 28676, 636, 0, 12, 12, 14, 1400, 31228, 28664, 636, 0, 5, 5, 15, 1400, 31223, 28659, 636, 0, 4, 4, 16, 1400, 31219, 28655, 636, 0, 2, 2, 17, 1400, 31217, 28653, 636, 0, 2, 2, 18, 1400, 31215, 28650, 635, 0, 2, 2, 19, 1400, 31213, 28648, 635, 0, 0, 0]"
1500,"[19, 0, 1500, 49297, 47312, 1469, 1, 8551, 8057, 1, 1500, 41240, 38737, 951, 1, 3036, 2954, 2, 1500, 38286, 35604, 772, 1, 1460, 1437, 3, 1500, 36849, 34111, 716, 1, 779, 774, 4, 1500, 36075, 33295, 674, 1, 423, 423, 5, 1500, 35652, 32855, 657, 1, 246, 245, 6, 1500, 35407, 32602, 649, 1, 147, 146, 7, 1500, 35261, 32451, 644, 1, 87, 87, 8, 1500, 35174, 32360, 640, 1, 56, 54, 9, 1500, 35120, 32302, 636, 1, 28, 28, 10, 1500, 35092, 32274, 636, 1, 17, 17, 11, 1500, 35075, 32257, 636, 1, 11, 11, 12, 1500, 35064, 32246, 636, 1, 10, 10, 13, 1500, 35054, 32236, 636, 1, 8, 8, 14, 1500, 35046, 32228, 636, 1, 8, 8, 15, 1500, 35038, 32220, 636, 1, 5, 5, 16, 1500, 35033, 32215, 636, 1, 2, 2, 17, 1500, 35031, 32213, 636, 1, 2, 2, 18, 1500, 35029, 32211, 636, 1, 1, 1, 19, 1500, 35028, 32210, 636, 1, 0, 0]"
1600,"[14, 0, 1600, 53993, 51412, 1591, 2, 9421, 8829, 1, 1600, 45164, 42030, 1037, 1, 3317, 3242, 2, 1600, 41922, 38611, 860, 1, 1663, 1635, 3, 1600, 40287, 36892, 775, 0, 913, 901, 4, 1600, 39386, 35961, 745, 0, 541, 534, 5, 1600, 38852, 35413, 731, 0, 337, 334, 6, 1600, 38518, 35066, 718, 0, 201, 201, 7, 1600, 38317, 34862, 715, 0, 119, 118, 8, 1600, 38199, 34738, 709, 0, 75, 75, 9, 1600, 38124, 34661, 707, 0, 48, 48, 10, 1600, 38076, 34613, 707, 0, 39, 39, 11, 1600, 38037, 34570, 703, 0, 24, 24, 12, 1600, 38013, 34545, 702, 0, 16, 16, 13, 1600, 37997, 34527, 700, 0, 8, 8, 14, 1600, 37989, 34519, 700, 0, 0, 0]"
1700,"[16, 0, 1700, 59645, 57646, 1712, 3, 10115, 9546, 1, 1700, 50099, 47563, 1172, 0, 3507, 3411, 2, 1700, 46688, 43956, 976, 0, 1670, 1631, 3, 1700, 45057, 42247, 898, 0, 892, 882, 4, 1700, 44175, 41327, 860, 0, 521, 519, 5, 1700, 43656, 40788, 840, 0, 295, 294, 6, 1700, 43362, 40487, 833, 0, 167, 166, 7, 1700, 43196, 40313, 825, 0, 95, 95, 8, 1700, 43101, 40214, 821, 0, 52, 52, 9, 1700, 43049, 40160, 819, 0, 29, 29, 10, 1700, 43020, 40130, 818, 0, 18, 18, 11, 1700, 43002, 40112, 818, 0, 6, 5, 12, 1700, 42997, 40107, 818, 0, 4, 4, 13, 1700, 42993, 40103, 818, 0, 2, 2, 14, 1700, 42991, 40101, 818, 0, 1, 1, 15, 1700, 42990, 40100, 818, 0, 1, 1, 16, 1700, 42989, 40099, 818, 0, 0, 0]"
1800,"[24, 0, 1800, 65203, 63555, 1905, 3, 10881, 10227, 1, 1800, 54976, 52668, 1243, 1, 3725, 3616, 2, 1800, 51360, 48868, 1059, 1, 1713, 1688, 3, 1800, 49672, 47098, 977, 1, 828, 816, 4, 1800, 48856, 46246, 941, 1, 427, 425, 5, 1800, 48431, 45799, 919, 1, 237, 236, 6, 1800, 48195, 45552, 908, 1, 143, 143, 7, 1800, 48052, 45398, 897, 1, 69, 68, 8, 1800, 47984, 45328, 895, 1, 46, 46, 9, 1800, 47938, 45282, 895, 1, 32, 32, 10, 1800, 47906, 45248, 893, 1, 15, 15, 11, 1800, 47891, 45232, 892, 1, 8, 8, 12, 1800, 47883, 45224, 892, 1, 7, 7, 13, 1800, 47876, 45217, 892, 1, 8, 8, 14, 1800, 47868, 45209, 892, 1, 5, 5, 15, 1800, 47863, 45204, 892, 1, 5, 5, 16, 1800, 47858, 45199, 892, 1, 1, 1, 17, 1800, 47857, 45198, 892, 1, 2, 2, 18, 1800, 47855, 45196, 892, 1, 1, 1, 19, 1800, 47854, 45195, 892, 1, 1, 1, 20, 1800, 47853, 45194, 892, 1, 1, 1, 21, 1800, 47852, 45193, 892, 1, 1, 1, 22, 1800, 47851, 45192, 892, 1, 1, 1, 23, 1800, 47850, 45191, 892, 1, 1, 1, 24, 1800, 47849, 45190, 892, 1, 0, 0]"
1900,"[18, 0, 1900, 70329, 67481, 1916, 2, 12218, 11510, 1, 1900, 58819, 55293, 1237, 1, 4300, 4191, 2, 1900, 54628, 50890, 1025, 1, 2079, 2047, 3, 1900, 52581, 48755, 937, 1, 1124, 1109, 4, 1900, 51472, 47608, 899, 1, 644, 641, 5, 1900, 50831, 46939, 871, 1, 375, 373, 6, 1900, 50458, 46555, 860, 1, 221, 219, 7, 1900, 50239, 46331, 855, 1, 135, 134, 8, 1900, 50105, 46194, 852, 1, 83, 83, 9, 1900, 50022, 46104, 845, 1, 50, 49, 10, 1900, 49973, 46054, 844, 1, 31, 31, 11, 1900, 49942, 46022, 843, 1, 17, 17, 12, 1900, 49925, 46004, 842, 1, 15, 15, 13, 1900, 49910, 45989, 842, 1, 11, 11, 14, 1900, 49899, 45978, 842, 1, 7, 7, 15, 1900, 49892, 45970, 841, 1, 3, 3, 16, 1900, 49889, 45967, 841, 1, 1, 1, 17, 1900, 49888, 45966, 841, 1, 1, 1, 18, 1900, 49887, 45965, 841, 1, 0, 0]"
2000,"[18, 0, 2000, 76078, 73241, 1941, 3, 12822, 12042, 1, 2000, 64036, 60516, 1256, 1, 4354, 4240, 2, 2000, 59796, 56076, 1055, 0, 1994, 1957, 3, 2000, 57839, 54050, 986, 0, 1076, 1064, 4, 2000, 56775, 52946, 946, 0, 602, 601, 5, 2000, 56174, 52326, 927, 0, 356, 355, 6, 2000, 55819, 51957, 913, 0, 208, 206, 7, 2000, 55613, 51737, 899, 0, 125, 125, 8, 2000, 55488, 51607, 894, 0, 70, 70, 9, 2000, 55418, 51536, 893, 0, 34, 34, 10, 2000, 55384, 51500, 891, 0, 23, 23, 11, 2000, 55361, 51477, 891, 0, 17, 17, 12, 2000, 55344, 51460, 891, 0, 11, 11, 13, 2000, 55333, 51449, 891, 0, 9, 9, 14, 2000, 55324, 51440, 891, 0, 8, 8, 15, 2000, 55316, 51432, 891, 0, 5, 5, 16, 2000, 55311, 51427, 891, 0, 3, 3, 17, 2000, 55308, 51424, 891, 0, 1, 1, 18, 2000, 55307, 51423, 891, 0, 0, 0]"
