n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
2100,"[15, 0, 2100, 81710, 78301, 2050, 1, 13993, 13120, 1, 2100, 68590, 64479, 1347, 0, 4806, 4677, 2, 2100, 63913, 59606, 1151, 0, 2333, 2297, 3, 2100, 61616, 57231, 1073, 0, 1225, 1214, 4, 2100, 60402, 55967, 1023, 0, 707, 705, 5, 2100, 59697, 55247, 1008, 0, 412, 412, 6, 2100, 59285, 54817, 990, 0, 241, 240, 7, 2100, 59045, 54571, 984, 0, 146, 145, 8, 2100, 58900, 54425, 983, 0, 100, 100, 9, 2100, 58800, 54318, 976, 0, 50, 50, 10, 2100, 58750, 54266, 974, 0, 27, 27, 11, 2100, 58723, 54237, 972, 0, 18, 18, 12, 2100, 58705, 54219, 972, 0, 15, 15, 13, 2100, 58690, 54203, 971, 0, 6, 6, 14, 2100, 58684, 54197, 971, 0, 3, 3, 15, 2100, 58681, 54194, 971, 0, 0, 0]"
2200,"[17, 0, 2200, 87715, 84405, 2138, 6, 14848, 13966, 1, 2200, 73749, 69722, 1420, 5, 5125, 5007, 2, 2200, 68742, 64489, 1191, 2, 2405, 2367, 3, 2200, 66375, 62048, 1117, 2, 1240, 1233, 4, 2200, 65142, 60785, 1087, 2, 671, 670, 5, 2200, 64472, 60093, 1064, 1, 398, 396, 6, 2200, 64076, 59688, 1055, 1, 213, 213, 7, 2200, 63863, 59465, 1045, 1, 131, 131, 8, 2200, 63732, 59328, 1039, 1, 70, 70, 9, 2200, 63662, 59257, 1038, 1, 37, 37, 10, 2200, 63625, 59219, 1037, 1, 23, 23, 11, 2200, 63602, 59196, 1037, 1, 10, 10, 12, 2200, 63592, 59186, 1037, 1, 9, 9, 13, 2200, 63583, 59177, 1037, 1, 6, 6, 14, 2200, 63577, 59171, 1037, 1, 3, 3, 15, 2200, 63574, 59168, 1037, 1, 1, 1, 16, 2200, 63573, 59167, 1037, 1, 1, 1, 17, 2200, 63572, 59166, 1037, 1, 0, 0]"
2300,"[21, 0, 2300, 93660, 89829, 2310, 1, 16052, 15080, 1, 2300, 78580, 73916, 1477, 1, 5643, 5484, 2, 2300, 73096, 68203, 1247, 0, 2669, 2629, 3, 2300, 70467, 65468, 1141, 0, 1369, 1354, 4, 2300, 69113, 64075, 1102, 0, 749, 745, 5, 2300, 68368, 63310, 1082, 0, 444, 443, 6, 2300, 67925, 62856, 1071, 0, 265, 265, 7, 2300, 67660, 62584, 1064, 0, 161, 161, 8, 2300, 67499, 62420, 1061, 0, 107, 107, 9, 2300, 67392, 62309, 1057, 0, 63, 63, 10, 2300, 67329, 62245, 1056, 0, 41, 41, 11, 2300, 67288, 62202, 1054, 0, 25, 25, 12, 2300, 67263, 62177, 1054, 0, 18, 18, 13, 2300, 67245, 62158, 1053, 0, 11, 11, 14, 2300, 67234, 62146, 1052, 0, 6, 6, 15, 2300, 67228, 62140, 1052, 0, 4, 4, 16, 2300, 67224, 62136, 1052, 0, 2, 2, 17, 2300, 67222, 62134, 1052, 0, 2, 2, 18, 2300, 67220, 62132, 1052, 0, 1, 1, 19, 2300, 67219, 62131, 1052, 0, 1, 1, 20, 2300, 67218, 62130, 1052, 0, 1, 1, 21, 2300, 67217, 62129, 1052, 0, 0, 0]"
2400,"[17, 0, 2400, 99487, 95204, 2318, 1, 17081, 16048, 1, 2400, 83439, 78379, 1540, 0, 6003, 5846, 2, 2400, 77593, 72300, 1307, 0, 2871, 2824, 3, 2400, 74769, 69364, 1195, 0, 1494, 1479, 4, 2400, 73290, 67823, 1133, 0, 799, 794, 5, 2400, 72496, 67005, 1109, 0, 448, 444, 6, 2400, 72052, 66550, 1098, 0, 266, 265, 7, 2400, 71787, 66284, 1097, 0, 157, 157, 8, 2400, 71630, 66118, 1088, 0, 101, 101, 9, 2400, 71529, 66006, 1077, 0, 61, 61, 10, 2400, 71468, 65940, 1072, 0, 34, 33, 11, 2400, 71435, 65907, 1072, 0, 25, 25, 12, 2400, 71410, 65882, 1072, 0, 21, 21, 13, 2400, 71389, 65861, 1072, 0, 13, 13, 14, 2400, 71376, 65847, 1071, 0, 7, 7, 15, 2400, 71369, 65840, 1071, 0, 4, 4, 16, 2400, 71365, 65836, 1071, 0, 4, 4, 17, 2400, 71361, 65832, 1071, 0, 0, 0]"
2500,"[19, 0, 2500, 105560, 100159, 2432, 2, 18284, 17250, 1, 2500, 88310, 82036, 1557, 0, 6499, 6302, 2, 2500, 82008, 75501, 1324, 0, 3058, 3012, 3, 2500, 78996, 72374, 1209, 0, 1621, 1607, 4, 2500, 77389, 70713, 1155, 0, 972, 969, 5, 2500, 76420, 69710, 1121, 0, 578, 575, 6, 2500, 75845, 69126, 1112, 0, 379, 377, 7, 2500, 75468, 68731, 1094, 0, 234, 234, 8, 2500, 75234, 68483, 1080, 0, 130, 126, 9, 2500, 75108, 68354, 1077, 0, 84, 83, 10, 2500, 75025, 68270, 1076, 0, 53, 53, 11, 2500, 74972, 68215, 1074, 0, 41, 41, 12, 2500, 74931, 68174, 1074, 0, 22, 22, 13, 2500, 74909, 68152, 1074, 0, 14, 14, 14, 2500, 74895, 68136, 1072, 0, 9, 9, 15, 2500, 74886, 68127, 1072, 0, 9, 9, 16, 2500, 74877, 68118, 1072, 0, 5, 5, 17, 2500, 74872, 68113, 1072, 0, 3, 3, 18, 2500, 74869, 68110, 1072, 0, 2, 2, 19, 2500, 74867, 68108, 1072, 0, 0, 0]"
2600,"[18, 0, 2600, 112869, 108677, 2592, 2, 19240, 18112, 1, 2600, 94757, 89668, 1694, 1, 6581, 6387, 2, 2600, 88370, 83025, 1438, 1, 3117, 3069, 3, 2600, 85301, 79848, 1330, 1, 1571, 1555, 4, 2600, 83746, 78251, 1288, 1, 889, 883, 5, 2600, 82863, 77332, 1252, 1, 523, 523, 6, 2600, 82340, 76796, 1239, 1, 327, 327, 7, 2600, 82013, 76452, 1222, 1, 188, 187, 8, 2600, 81826, 76260, 1217, 1, 124, 124, 9, 2600, 81702, 76134, 1215, 1, 69, 69, 10, 2600, 81633, 76065, 1215, 1, 50, 50, 11, 2600, 81583, 76013, 1213, 1, 40, 39, 12, 2600, 81544, 75974, 1213, 1, 20, 20, 13, 2600, 81524, 75954, 1213, 1, 13, 13, 14, 2600, 81511, 75941, 1213, 1, 6, 6, 15, 2600, 81505, 75935, 1213, 1, 4, 4, 16, 2600, 81501, 75931, 1213, 1, 1, 1, 17, 2600, 81500, 75930, 1213, 1, 1, 1, 18, 2600, 81499, 75929, 1213, 1, 0, 0]"
2700,"[16, 0, 2700, 119262, 115059, 2756, 4, 20107, 18953, 1, 2700, 100309, 95205, 1854, 3, 6888, 6713, 2, 2700, 93596, 88198, 1560, 3, 3209, 3170, 3, 2700, 90426, 84927, 1459, 3, 1685, 1675, 4, 2700, 88751, 83201, 1408, 3, 882, 878, 5, 2700, 87873, 82294, 1379, 3, 535, 534, 6, 2700, 87339, 81747, 1366, 3, 317, 317, 7, 2700, 87022, 81421, 1357, 3, 184, 183, 8, 2700, 86839, 81232, 1351, 3, 105, 104, 9, 2700, 86735, 81125, 1348, 3, 71, 71, 10, 2700, 86664, 81053, 1347, 3, 44, 44, 11, 2700, 86620, 81007, 1345, 3, 24, 24, 12, 2700, 86596, 80982, 1344, 3, 15, 15, 13, 2700, 86581, 80967, 1344, 3, 9, 9, 14, 2700, 86572, 80957, 1343, 3, 4, 4, 15, 2700, 86568, 80953, 1343, 3, 2, 2, 16, 2700, 86566, 80950, 1342, 3, 0, 0]"
2800,"[17, 0, 2800, 126403, 122788, 2876, 1, 20722, 19574, 1, 2800, 106829, 102237, 1899, 1, 7100, 6927, 2, 2800, 99902, 95028, 1616, 0, 3307, 3259, 3, 2800, 96643, 91670, 1517, 0, 1608, 1601, 4, 2800, 95042, 90016, 1464, 0, 861, 856, 5, 2800, 94186, 89126, 1430, 0, 455, 455, 6, 2800, 93731, 88652, 1411, 0, 215, 215, 7, 2800, 93516, 88430, 1404, 0, 109, 109, 8, 2800, 93407, 88320, 1403, 0, 70, 70, 9, 2800, 93337, 88249, 1402, 0, 35, 35, 10, 2800, 93302, 88213, 1401, 0, 30, 30, 11, 2800, 93272, 88183, 1401, 0, 20, 20, 12, 2800, 93252, 88163, 1401, 0, 14, 14, 13, 2800, 93238, 88149, 1401, 0, 8, 8, 14, 2800, 93230, 88141, 1401, 0, 7, 7, 15, 2800, 93223, 88132, 1399, 0, 3, 3, 16, 2800, 93220, 88129, 1399, 0, 1, 1, 17, 2800, 93219, 88128, 1399, 0, 0, 0]"
2900,"[16, 0, 2900, 133403, 130067, 2998, 2, 22016, 20773, 1, 2900, 112630, 108316, 2019, 1, 7464, 7265, 2, 2900, 105365, 100783, 1751, 1, 3410, 3362, 3, 2900, 102003, 97297, 1627, 1, 1670, 1663, 4, 2900, 100340, 95578, 1571, 1, 934, 929, 5, 2900, 99411, 94624, 1546, 1, 512, 511, 6, 2900, 98900, 94101, 1534, 1, 266, 264, 7, 2900, 98636, 93829, 1526, 1, 140, 139, 8, 2900, 98497, 93686, 1522, 1, 89, 89, 9, 2900, 98408, 93596, 1521, 1, 50, 50, 10, 2900, 98358, 93546, 1521, 1, 25, 25, 11, 2900, 98333, 93520, 1520, 1, 10, 10, 12, 2900, 98323, 93510, 1520, 1, 6, 6, 13, 2900, 98317, 93504, 1520, 1, 3, 3, 14, 2900, 98314, 93501, 1520, 1, 1, 1, 15, 2900, 98313, 93500, 1520, 1, 1, 1, 16, 2900, 98312, 93499, 1520, 1, 0, 0]"
3000,"[19, 0, 3000, 139260, 133819, 3059, 0, 23551, 22146, 1, 3000, 117114, 110663, 2049, 0, 8214, 7987, 2, 3000, 109127, 102405, 1778, 0, 3860, 3804, 3, 3000, 105323, 98454, 1631, 0, 1993, 1978, 4, 3000, 103345, 96412, 1567, 0, 1077, 1071, 5, 3000, 102274, 95305, 1531, 0, 612, 611, 6, 3000, 101663, 94669, 1506, 0, 328, 328, 7, 3000, 101335, 94335, 1500, 0, 186, 185, 8, 3000, 101150, 94148, 1498, 0, 113, 113, 9, 3000, 101037, 94033, 1496, 0, 73, 72, 10, 3000, 100965, 93959, 1494, 0, 44, 44, 11, 3000, 100921, 93912, 1491, 0, 27, 27, 12, 3000, 100894, 93884, 1490, 0, 17, 17, 13, 3000, 100877, 93866, 1489, 0, 11, 11, 14, 3000, 100866, 93855, 1489, 0, 8, 8, 15, 3000, 100858, 93846, 1488, 0, 7, 7, 16, 3000, 100851, 93839, 1488, 0, 4, 4, 17, 3000, 100847, 93835, 1488, 0, 3, 3, 18, 3000, 100844, 93832, 1488, 0, 2, 2, 19, 3000, 100842, 93830, 1488, 0, 0, 0]"
3100,"[18, 0, 3100, 146702, 141586, 3102, 1, 24614, 23274, 1, 3100, 123428, 117267, 2056, 0, 8428, 8190, 2, 3100, 115238, 108773, 1752, 0, 3839, 3780, 3, 3100, 111458, 104870, 1629, 0, 1996, 1977, 4, 3100, 109481, 102824, 1560, 0, 1088, 1085, 5, 3100, 108396, 101714, 1535, 0, 600, 599, 6, 3100, 107797, 101102, 1522, 0, 347, 347, 7, 3100, 107450, 100742, 1509, 0, 185, 185, 8, 3100, 107265, 100553, 1505, 0, 107, 107, 9, 3100, 107158, 100445, 1504, 0, 61, 61, 10, 3100, 107097, 100381, 1501, 0, 28, 28, 11, 3100, 107069, 100352, 1500, 0, 15, 15, 12, 3100, 107054, 100337, 1500, 0, 9, 9, 13, 3100, 107045, 100328, 1500, 0, 5, 5, 14, 3100, 107040, 100323, 1500, 0, 3, 3, 15, 3100, 107037, 100320, 1500, 0, 2, 2, 16, 3100, 107035, 100318, 1500, 0, 2, 2, 17, 3100, 107033, 100316, 1500, 0, 1, 1, 18, 3100, 107032, 100315, 1500, 0, 0, 0]"
3200,"[23, 0, 3200, 153952, 147953, 3236, 3, 25987, 24458, 1, 3200, 129494, 122420, 2158, 0, 8878, 8653, 2, 3200, 120841, 113470, 1861, 0, 4047, 3991, 3, 3200, 116850, 109347, 1729, 0, 2094, 2071, 4, 3200, 114779, 107186, 1639, 0, 1140, 1136, 5, 3200, 113643, 106019, 1608, 0, 606, 603, 6, 3200, 113040, 105396, 1588, 0, 333, 332, 7, 3200, 112708, 105053, 1577, 0, 193, 193, 8, 3200, 112515, 104853, 1570, 0, 119, 119, 9, 3200, 112396, 104730, 1566, 0, 78, 78, 10, 3200, 112318, 104648, 1562, 0, 50, 49, 11, 3200, 112269, 104599, 1562, 0, 24, 24, 12, 3200, 112245, 104575, 1562, 0, 19, 19, 13, 3200, 112226, 104556, 1562, 0, 15, 15, 14, 3200, 112211, 104540, 1561, 0, 8, 8, 15, 3200, 112203, 104532, 1561, 0, 6, 6, 16, 3200, 112197, 104526, 1561, 0, 3, 3, 17, 3200, 112194, 104523, 1561, 0, 1, 1, 18, 3200, 112193, 104522, 1561, 0, 1, 1, 19, 3200, 112192, 104521, 1561, 0, 1, 1, 20, 3200, 112191, 104520, 1561, 0, 1, 1, 21, 3200, 112190, 104519, 1561, 0, 1, 1, 22, 3200, 112189, 104518, 1561, 0, 1, 1, 23, 3200, 112188, 104517, 1561, 0, 0, 0]"
3300,"[18, 0, 3300, 160455, 153445, 3319, 1, 27295, 25667, 1, 3300, 134788, 126665, 2205, 0, 9398, 9133, 2, 3300, 125655, 117174, 1847, 0, 4324, 4256, 3, 3300, 121399, 112793, 1722, 0, 2277, 2261, 4, 3300, 119138, 110461, 1651, 0, 1251, 1243, 5, 3300, 117895, 109174, 1607, 0, 721, 720, 6, 3300, 117175, 108442, 1595, 0, 429, 428, 7, 3300, 116747, 108005, 1586, 0, 267, 267, 8, 3300, 116480, 107729, 1577, 0, 160, 160, 9, 3300, 116320, 107564, 1572, 0, 98, 98, 10, 3300, 116222, 107460, 1566, 0, 56, 56, 11, 3300, 116166, 107402, 1564, 0, 32, 32, 12, 3300, 116134, 107370, 1564, 0, 18, 18, 13, 3300, 116116, 107351, 1563, 0, 5, 5, 14, 3300, 116111, 107346, 1563, 0, 2, 2, 15, 3300, 116109, 107344, 1563, 0, 2, 2, 16, 3300, 116107, 107342, 1563, 0, 2, 2, 17, 3300, 116105, 107340, 1563, 0, 1, 1, 18, 3300, 116104, 107339, 1563, 0, 0, 0]"
3400,"[22, 0, 3400, 168297, 162360, 3413, 1, 28171, 26555, 1, 3400, 141742, 134637, 2244, 0, 9653, 9376, 2, 3400, 132366, 124968, 1951, 0, 4430, 4358, 3, 3400, 128008, 120473, 1814, 0, 2283, 2267, 4, 3400, 125741, 118144, 1752, 0, 1170, 1166, 5, 3400, 124575, 116948, 1722, 0, 644, 644, 6, 3400, 123931, 116286, 1704, 0, 342, 342, 7, 3400, 123589, 115937, 1697, 0, 195, 195, 8, 3400, 123394, 115735, 1690, 0, 113, 113, 9, 3400, 123281, 115617, 1685, 0, 65, 65, 10, 3400, 123216, 115550, 1683, 0, 38, 37, 11, 3400, 123179, 115513, 1683, 0, 20, 20, 12, 3400, 123159, 115493, 1683, 0, 14, 14, 13, 3400, 123145, 115479, 1683, 0, 7, 7, 14, 3400, 123138, 115471, 1682, 0, 6, 6, 15, 3400, 123132, 115465, 1682, 0, 4, 4, 16, 3400, 123128, 115460, 1681, 0, 2, 2, 17, 3400, 123126, 115458, 1681, 0, 2, 2, 18, 3400, 123124, 115456, 1681, 0, 1, 1, 19, 3400, 123123, 115455, 1681, 0, 1, 1, 20, 3400, 123122, 115454, 1681, 0, 1, 1, 21, 3400, 123121, 115453, 1681, 0, 1, 1, 22, 3400, 123120, 115452, 1681, 0, 0, 0]"
3500,"[19, 0, 3500, 176157, 169799, 3481, 3, 29430, 27735, 1, 3500, 148422, 140900, 2316, 2, 10186, 9936, 2, 3500, 138486, 130625, 1976, 1, 4656, 4592, 3, 3500, 133894, 125886, 1829, 1, 2311, 2297, 4, 3500, 131597, 123524, 1764, 1, 1248, 1241, 5, 3500, 130356, 122243, 1724, 1, 672, 670, 6, 3500, 129686, 121561, 1712, 1, 383, 382, 7, 3500, 129304, 121176, 1709, 1, 221, 221, 8, 3500, 129083, 120943, 1697, 1, 132, 131, 9, 3500, 128952, 120810, 1695, 1, 74, 74, 10, 3500, 128878, 120734, 1693, 1, 38, 38, 11, 3500, 128840, 120696, 1693, 1, 23, 23, 12, 3500, 128817, 120671, 1691, 1, 14, 14, 13, 3500, 128803, 120657, 1691, 1, 11, 11, 14, 3500, 128792, 120646, 1691, 1, 9, 9, 15, 3500, 128783, 120637, 1691, 1, 9, 9, 16, 3500, 128774, 120628, 1691, 1, 5, 5, 17, 3500, 128769, 120623, 1691, 1, 4, 4, 18, 3500, 128765, 120619, 1691, 1, 1, 1, 19, 3500, 128764, 120618, 1691, 1, 0, 0]"
3600,"[21, 0, 3600, 183660, 176732, 3504, 0, 30762, 28968, 1, 3600, 154692, 146653, 2393, 0, 10675, 10408, 2, 3600, 144284, 135911, 2059, 0, 4902, 4841, 3, 3600, 139443, 130914, 1903, 0, 2482, 2459, 4, 3600, 136984, 128385, 1833, 0, 1330, 1325, 5, 3600, 135659, 127016, 1789, 0, 709, 707, 6, 3600, 134952, 126285, 1765, 0, 393, 389, 7, 3600, 134563, 125892, 1761, 0, 216, 216, 8, 3600, 134347, 125671, 1756, 0, 139, 139, 9, 3600, 134208, 125527, 1751, 0, 80, 80, 10, 3600, 134128, 125443, 1747, 0, 39, 39, 11, 3600, 134089, 125403, 1746, 0, 25, 25, 12, 3600, 134064, 125378, 1746, 0, 21, 21, 13, 3600, 134043, 125357, 1746, 0, 10, 10, 14, 3600, 134033, 125347, 1746, 0, 7, 7, 15, 3600, 134026, 125340, 1746, 0, 5, 5, 16, 3600, 134021, 125335, 1746, 0, 4, 4, 17, 3600, 134017, 125331, 1746, 0, 2, 2, 18, 3600, 134015, 125329, 1746, 0, 1, 1, 19, 3600, 134014, 125328, 1746, 0, 2, 2, 20, 3600, 134012, 125326, 1746, 0, 1, 1, 21, 3600, 134011, 125325, 1746, 0, 0, 0]"
3700,"[17, 0, 3700, 191225, 184062, 3771, 2, 32203, 30314, 1, 3700, 160911, 152465, 2487, 1, 11198, 10893, 2, 3700, 150018, 141216, 2131, 1, 5070, 5006, 3, 3700, 145012, 136019, 1940, 1, 2543, 2523, 4, 3700, 142489, 133409, 1853, 1, 1381, 1375, 5, 3700, 141114, 132001, 1820, 1, 798, 797, 6, 3700, 140317, 131178, 1794, 1, 464, 464, 7, 3700, 139853, 130705, 1785, 1, 259, 258, 8, 3700, 139595, 130440, 1778, 1, 150, 150, 9, 3700, 139445, 130287, 1775, 1, 105, 105, 10, 3700, 139340, 130180, 1773, 1, 57, 57, 11, 3700, 139283, 130123, 1773, 1, 38, 38, 12, 3700, 139245, 130085, 1773, 1, 23, 23, 13, 3700, 139222, 130061, 1772, 1, 17, 17, 14, 3700, 139205, 130044, 1772, 1, 8, 8, 15, 3700, 139197, 130036, 1772, 1, 4, 4, 16, 3700, 139193, 130032, 1772, 1, 1, 1, 17, 3700, 139192, 130030, 1771, 1, 0, 0]"
3800,"[18, 0, 3800, 199443, 191686, 3734, 2, 33828, 31796, 1, 3800, 167647, 158650, 2492, 0, 11693, 11366, 2, 3800, 156281, 146896, 2104, 0, 5206, 5140, 3, 3800, 151141, 141599, 1947, 0, 2608, 2594, 4, 3800, 148547, 138916, 1858, 0, 1437, 1426, 5, 3800, 147121, 137442, 1810, 0, 766, 763, 6, 3800, 146358, 136659, 1790, 0, 458, 457, 7, 3800, 145901, 136188, 1776, 0, 262, 262, 8, 3800, 145639, 135919, 1769, 0, 133, 133, 9, 3800, 145506, 135783, 1766, 0, 71, 71, 10, 3800, 145435, 135712, 1766, 0, 28, 28, 11, 3800, 145407, 135683, 1765, 0, 16, 16, 12, 3800, 145391, 135666, 1764, 0, 11, 11, 13, 3800, 145380, 135654, 1763, 0, 9, 9, 14, 3800, 145371, 135645, 1763, 0, 5, 5, 15, 3800, 145366, 135640, 1763, 0, 6, 6, 16, 3800, 145360, 135634, 1763, 0, 2, 2, 17, 3800, 145358, 135632, 1763, 0, 1, 1, 18, 3800, 145357, 135631, 1763, 0, 0, 0]"
3900,"[16, 0, 3900, 206809, 198295, 3797, 0, 34812, 32702, 1, 3900, 174107, 164317, 2521, 0, 12003, 11696, 2, 3900, 162411, 152239, 2139, 0, 5490, 5413, 3, 3900, 156998, 146665, 1978, 0, 2801, 2778, 4, 3900, 154220, 143799, 1890, 0, 1519, 1508, 5, 3900, 152712, 142257, 1856, 0, 845, 842, 6, 3900, 151870, 141398, 1839, 0, 482, 481, 7, 3900, 151389, 140903, 1825, 0, 260, 260, 8, 3900, 151129, 140638, 1820, 0, 153, 153, 9, 3900, 150976, 140480, 1815, 0, 87, 87, 10, 3900, 150889, 140390, 1812, 0, 51, 51, 11, 3900, 150838, 140335, 1808, 0, 27, 27, 12, 3900, 150811, 140308, 1808, 0, 14, 14, 13, 3900, 150797, 140294, 1808, 0, 7, 7, 14, 3900, 150790, 140287, 1808, 0, 5, 5, 15, 3900, 150785, 140282, 1808, 0, 1, 1, 16, 3900, 150784, 140280, 1807, 0, 0, 0]"
4000,"[18, 0, 4000, 215569, 208423, 4115, 1, 36057, 33960, 1, 4000, 181609, 173159, 2810, 0, 12342, 12030, 2, 4000, 169579, 160751, 2432, 0, 5479, 5406, 3, 4000, 164173, 155201, 2288, 0, 2731, 2714, 4, 4000, 161459, 152400, 2201, 0, 1400, 1395, 5, 4000, 160064, 150962, 2158, 0, 809, 806, 6, 4000, 159258, 150134, 2136, 0, 419, 419, 7, 4000, 158839, 149703, 2124, 0, 248, 247, 8, 4000, 158592, 149452, 2120, 0, 145, 145, 9, 4000, 158447, 149304, 2117, 0, 74, 74, 10, 4000, 158373, 149228, 2115, 0, 50, 50, 11, 4000, 158323, 149176, 2113, 0, 26, 26, 12, 4000, 158297, 149150, 2113, 0, 16, 16, 13, 4000, 158281, 149134, 2113, 0, 13, 13, 14, 4000, 158268, 149120, 2112, 0, 3, 3, 15, 4000, 158265, 149117, 2112, 0, 1, 1, 16, 4000, 158264, 149116, 2112, 0, 2, 2, 17, 4000, 158262, 149113, 2111, 0, 1, 1, 18, 4000, 158261, 149112, 2111, 0, 0, 0]"
4100,"[17, 0, 4100, 222525, 212640, 3970, 1, 37744, 35535, 1, 4100, 186990, 175806, 2670, 0, 13410, 13019, 2, 4100, 173971, 162386, 2269, 0, 6110, 6022, 3, 4100, 167949, 156185, 2090, 0, 3109, 3093, 4, 4100, 164856, 153015, 2013, 0, 1716, 1707, 5, 4100, 163149, 151263, 1968, 0, 982, 977, 6, 4100, 162172, 150263, 1945, 0, 551, 551, 7, 4100, 161621, 149703, 1936, 0, 336, 335, 8, 4100, 161286, 149360, 1928, 0, 181, 181, 9, 4100, 161105, 149175, 1924, 0, 102, 102, 10, 4100, 161003, 149070, 1921, 0, 72, 72, 11, 4100, 160931, 148996, 1919, 0, 41, 41, 12, 4100, 160890, 148955, 1919, 0, 24, 24, 13, 4100, 160866, 148931, 1919, 0, 16, 16, 14, 4100, 160850, 148915, 1919, 0, 6, 6, 15, 4100, 160844, 148909, 1919, 0, 3, 3, 16, 4100, 160841, 148906, 1919, 0, 1, 1, 17, 4100, 160840, 148905, 1919, 0, 0, 0]"
4200,"[20, 0, 4200, 231282, 222332, 4117, 2, 38699, 36445, 1, 4200, 194837, 184553, 2781, 0, 13267, 12908, 2, 4200, 181929, 171218, 2354, 0, 5936, 5867, 3, 4200, 176062, 165205, 2208, 0, 2999, 2971, 4, 4200, 173091, 162153, 2127, 0, 1586, 1583, 5, 4200, 171508, 160537, 2094, 0, 875, 874, 6, 4200, 170634, 159639, 2070, 0, 470, 470, 7, 4200, 170164, 159152, 2053, 0, 265, 265, 8, 4200, 169899, 158886, 2052, 0, 159, 159, 9, 4200, 169740, 158721, 2046, 0, 108, 108, 10, 4200, 169632, 158609, 2042, 0, 61, 61, 11, 4200, 169571, 158545, 2039, 0, 26, 26, 12, 4200, 169545, 158518, 2038, 0, 21, 21, 13, 4200, 169524, 158497, 2038, 0, 13, 13, 14, 4200, 169511, 158484, 2038, 0, 11, 11, 15, 4200, 169500, 158473, 2038, 0, 8, 8, 16, 4200, 169492, 158465, 2038, 0, 5, 5, 17, 4200, 169487, 158460, 2038, 0, 5, 5, 18, 4200, 169482, 158454, 2037, 0, 1, 1, 19, 4200, 169481, 158453, 2037, 0, 1, 1, 20, 4200, 169480, 158452, 2037, 0, 0, 0]"
4300,"[17, 0, 4300, 239567, 229816, 4271, 4, 40586, 38264, 1, 4300, 201303, 190168, 2885, 2, 13928, 13561, 2, 4300, 187742, 176177, 2454, 1, 6355, 6265, 3, 4300, 181477, 169742, 2284, 1, 3221, 3199, 4, 4300, 178278, 166464, 2205, 1, 1724, 1720, 5, 4300, 176558, 164704, 2165, 1, 956, 955, 6, 4300, 175603, 163718, 2134, 1, 556, 556, 7, 4300, 175047, 163149, 2121, 1, 351, 350, 8, 4300, 174697, 162788, 2110, 1, 187, 187, 9, 4300, 174510, 162596, 2105, 1, 124, 124, 10, 4300, 174386, 162469, 2102, 1, 64, 64, 11, 4300, 174322, 162404, 2101, 1, 31, 31, 12, 4300, 174291, 162373, 2101, 1, 20, 20, 13, 4300, 174271, 162353, 2101, 1, 14, 14, 14, 4300, 174257, 162339, 2101, 1, 9, 9, 15, 4300, 174248, 162329, 2100, 1, 1, 1, 16, 4300, 174247, 162328, 2100, 1, 1, 1, 17, 4300, 174246, 162327, 2100, 1, 0, 0]"
4400,"[17, 0, 4400, 248221, 238826, 4494, 3, 41790, 39341, 1, 4400, 208880, 198025, 3032, 1, 14249, 13893, 2, 4400, 194987, 183699, 2599, 1, 6468, 6376, 3, 4400, 188611, 177138, 2413, 0, 3289, 3272, 4, 4400, 185339, 173785, 2332, 0, 1837, 1834, 5, 4400, 183505, 171906, 2287, 0, 1018, 1017, 6, 4400, 182488, 170853, 2251, 0, 550, 550, 7, 4400, 181938, 170290, 2238, 0, 324, 324, 8, 4400, 181614, 169961, 2233, 0, 179, 179, 9, 4400, 181435, 169779, 2230, 0, 94, 94, 10, 4400, 181341, 169683, 2228, 0, 54, 54, 11, 4400, 181287, 169629, 2228, 0, 32, 32, 12, 4400, 181255, 169597, 2228, 0, 17, 17, 13, 4400, 181238, 169580, 2228, 0, 11, 11, 14, 4400, 181227, 169569, 2228, 0, 10, 10, 15, 4400, 181217, 169559, 2228, 0, 3, 3, 16, 4400, 181214, 169556, 2228, 0, 1, 1, 17, 4400, 181213, 169555, 2228, 0, 0, 0]"
