n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
2100,"[17, 0, 2100, 81990, 79403, 2092, 3, 13798, 12992, 1, 2100, 68998, 65686, 1366, 2, 4719, 4617, 2, 2100, 64381, 60888, 1185, 2, 2233, 2195, 3, 2100, 62186, 58598, 1089, 1, 1158, 1150, 4, 2100, 61036, 57400, 1041, 1, 660, 658, 5, 2100, 60378, 56718, 1017, 1, 395, 393, 6, 2100, 59985, 56317, 1009, 1, 227, 227, 7, 2100, 59758, 56082, 1001, 1, 129, 129, 8, 2100, 59629, 55950, 998, 1, 71, 70, 9, 2100, 59559, 55880, 998, 1, 39, 39, 10, 2100, 59520, 55839, 996, 1, 21, 21, 11, 2100, 59499, 55818, 996, 1, 14, 14, 12, 2100, 59485, 55804, 996, 1, 16, 16, 13, 2100, 59469, 55788, 996, 1, 12, 12, 14, 2100, 59457, 55775, 995, 1, 6, 6, 15, 2100, 59451, 55769, 995, 1, 3, 3, 16, 2100, 59448, 55766, 995, 1, 2, 2, 17, 2100, 59446, 55764, 995, 1, 0, 0]"
2200,"[13, 0, 2200, 88098, 85796, 2287, 1, 14623, 13786, 1, 2200, 74312, 71254, 1531, 1, 4974, 4867, 2, 2200, 69445, 66158, 1302, 1, 2228, 2205, 3, 2200, 67240, 63864, 1213, 1, 1174, 1162, 4, 2200, 66078, 62652, 1163, 1, 614, 609, 5, 2200, 65469, 62025, 1145, 1, 345, 343, 6, 2200, 65126, 61661, 1124, 1, 186, 186, 7, 2200, 64940, 61469, 1118, 1, 109, 109, 8, 2200, 64831, 61357, 1115, 1, 59, 59, 9, 2200, 64772, 61296, 1113, 1, 30, 30, 10, 2200, 64742, 61265, 1112, 1, 22, 22, 11, 2200, 64720, 61243, 1112, 1, 11, 11, 12, 2200, 64709, 61232, 1112, 1, 5, 5, 13, 2200, 64704, 61227, 1112, 1, 0, 0]"
2300,"[19, 0, 2300, 93156, 88792, 2327, 3, 16200, 15205, 1, 2300, 77951, 72752, 1490, 1, 5723, 5543, 2, 2300, 72408, 66962, 1243, 1, 2736, 2699, 3, 2300, 69709, 64168, 1148, 1, 1495, 1483, 4, 2300, 68226, 62641, 1104, 1, 914, 907, 5, 2300, 67319, 61689, 1059, 1, 563, 559, 6, 2300, 66760, 61108, 1037, 1, 355, 354, 7, 2300, 66406, 60741, 1024, 1, 227, 226, 8, 2300, 66180, 60506, 1015, 1, 148, 147, 9, 2300, 66033, 60357, 1013, 1, 90, 90, 10, 2300, 65943, 60261, 1007, 1, 54, 54, 11, 2300, 65889, 60204, 1004, 1, 33, 33, 12, 2300, 65856, 60171, 1004, 1, 28, 28, 13, 2300, 65828, 60143, 1004, 1, 21, 21, 14, 2300, 65807, 60122, 1004, 1, 17, 17, 15, 2300, 65790, 60105, 1004, 1, 9, 9, 16, 2300, 65781, 60094, 1002, 1, 6, 6, 17, 2300, 65775, 60087, 1001, 1, 3, 3, 18, 2300, 65772, 60084, 1001, 1, 2, 2, 19, 2300, 65770, 60082, 1001, 1, 0, 0]"
2400,"[17, 0, 2400, 99855, 96751, 2513, 2, 16889, 15859, 1, 2400, 83996, 80036, 1656, 1, 5848, 5704, 2, 2400, 78292, 74092, 1416, 1, 2704, 2654, 3, 2400, 75638, 71348, 1325, 0, 1396, 1389, 4, 2400, 74249, 69908, 1274, 0, 783, 776, 5, 2400, 73473, 69110, 1252, 0, 436, 434, 6, 2400, 73039, 68666, 1242, 0, 272, 272, 7, 2400, 72767, 68388, 1236, 0, 151, 151, 8, 2400, 72616, 68236, 1235, 0, 103, 103, 9, 2400, 72513, 68130, 1232, 0, 70, 70, 10, 2400, 72443, 68056, 1228, 0, 43, 43, 11, 2400, 72400, 68012, 1227, 0, 45, 45, 12, 2400, 72355, 67963, 1223, 0, 29, 29, 13, 2400, 72326, 67934, 1223, 0, 16, 16, 14, 2400, 72310, 67916, 1221, 0, 8, 8, 15, 2400, 72302, 67908, 1221, 0, 4, 4, 16, 2400, 72298, 67904, 1221, 0, 2, 2, 17, 2400, 72296, 67902, 1221, 0, 0, 0]"
2500,"[21, 0, 2500, 106258, 102744, 2606, 2, 18116, 17026, 1, 2500, 89232, 84812, 1698, 0, 6127, 5953, 2, 2500, 83279, 78595, 1434, 0, 2820, 2776, 3, 2500, 80503, 75724, 1339, 0, 1470, 1461, 4, 2500, 79042, 74217, 1293, 0, 797, 793, 5, 2500, 78249, 73402, 1271, 0, 471, 469, 6, 2500, 77780, 72917, 1255, 0, 285, 285, 7, 2500, 77495, 72618, 1241, 0, 175, 175, 8, 2500, 77320, 72439, 1237, 0, 121, 121, 9, 2500, 77199, 72312, 1231, 0, 77, 77, 10, 2500, 77122, 72233, 1229, 0, 51, 51, 11, 2500, 77071, 72180, 1227, 0, 39, 39, 12, 2500, 77032, 72141, 1227, 0, 20, 20, 13, 2500, 77012, 72121, 1227, 0, 8, 8, 14, 2500, 77004, 72113, 1227, 0, 5, 5, 15, 2500, 76999, 72108, 1227, 0, 4, 4, 16, 2500, 76995, 72104, 1227, 0, 2, 2, 17, 2500, 76993, 72102, 1227, 0, 2, 2, 18, 2500, 76991, 72100, 1227, 0, 1, 1, 19, 2500, 76990, 72099, 1227, 0, 2, 2, 20, 2500, 76988, 72097, 1227, 0, 2, 2, 21, 2500, 76986, 72095, 1227, 0, 0, 0]"
2600,"[18, 0, 2600, 112807, 108934, 2557, 1, 18868, 17802, 1, 2600, 95005, 90274, 1699, 1, 6559, 6361, 2, 2600, 88644, 83688, 1473, 0, 3066, 3017, 3, 2600, 85627, 80565, 1367, 0, 1565, 1548, 4, 2600, 84079, 78971, 1321, 0, 839, 836, 5, 2600, 83243, 78109, 1295, 0, 462, 462, 6, 2600, 82781, 77635, 1283, 0, 281, 280, 7, 2600, 82501, 77351, 1279, 0, 174, 174, 8, 2600, 82327, 77165, 1267, 0, 98, 98, 9, 2600, 82229, 77065, 1265, 0, 64, 64, 10, 2600, 82165, 76998, 1262, 0, 41, 41, 11, 2600, 82124, 76953, 1258, 0, 18, 17, 12, 2600, 82107, 76936, 1258, 0, 14, 14, 13, 2600, 82093, 76922, 1258, 0, 4, 4, 14, 2600, 82089, 76918, 1258, 0, 2, 2, 15, 2600, 82087, 76916, 1258, 0, 3, 3, 16, 2600, 82084, 76913, 1258, 0, 1, 1, 17, 2600, 82083, 76912, 1258, 0, 2, 2, 18, 2600, 82081, 76910, 1258, 0, 0, 0]"
2700,"[17, 0, 2700, 119471, 115423, 2679, 0, 19979, 18864, 1, 2700, 100607, 95652, 1772, 0, 6847, 6650, 2, 2700, 93957, 88766, 1536, 0, 3164, 3133, 3, 2700, 90824, 85517, 1420, 0, 1611, 1598, 4, 2700, 89226, 83859, 1360, 0, 863, 861, 5, 2700, 88365, 82964, 1326, 0, 455, 454, 6, 2700, 87911, 82495, 1311, 0, 266, 264, 7, 2700, 87647, 82224, 1304, 0, 151, 151, 8, 2700, 87496, 82069, 1300, 0, 88, 88, 9, 2700, 87408, 81977, 1296, 0, 53, 53, 10, 2700, 87355, 81922, 1294, 0, 31, 31, 11, 2700, 87324, 81889, 1292, 0, 15, 15, 12, 2700, 87309, 81873, 1291, 0, 11, 11, 13, 2700, 87298, 81861, 1290, 0, 4, 4, 14, 2700, 87294, 81857, 1290, 0, 3, 3, 15, 2700, 87291, 81854, 1290, 0, 5, 5, 16, 2700, 87286, 81849, 1290, 0, 2, 2, 17, 2700, 87284, 81847, 1290, 0, 0, 0]"
2800,"[24, 0, 2800, 125885, 121187, 2807, 0, 21229, 20019, 1, 2800, 105866, 100205, 1844, 0, 7267, 7052, 2, 2800, 98814, 92875, 1566, 0, 3245, 3192, 3, 2800, 95622, 89554, 1437, 0, 1708, 1693, 4, 2800, 93929, 87814, 1390, 0, 971, 967, 5, 2800, 92962, 86820, 1363, 0, 551, 550, 6, 2800, 92412, 86259, 1352, 0, 327, 325, 7, 2800, 92087, 85927, 1345, 0, 179, 178, 8, 2800, 91909, 85744, 1340, 0, 99, 99, 9, 2800, 91810, 85644, 1339, 0, 51, 51, 10, 2800, 91759, 85592, 1338, 0, 28, 28, 11, 2800, 91731, 85564, 1338, 0, 15, 15, 12, 2800, 91716, 85549, 1338, 0, 8, 8, 13, 2800, 91708, 85541, 1338, 0, 4, 4, 14, 2800, 91704, 85537, 1338, 0, 3, 3, 15, 2800, 91701, 85534, 1338, 0, 4, 4, 16, 2800, 91697, 85530, 1338, 0, 2, 2, 17, 2800, 91695, 85528, 1338, 0, 2, 2, 18, 2800, 91693, 85526, 1338, 0, 2, 2, 19, 2800, 91691, 85524, 1338, 0, 2, 2, 20, 2800, 91689, 85522, 1338, 0, 2, 2, 21, 2800, 91687, 85520, 1338, 0, 3, 3, 22, 2800, 91684, 85517, 1338, 0, 1, 1, 23, 2800, 91683, 85516, 1338, 0, 1, 1, 24, 2800, 91682, 85514, 1337, 0, 0, 0]"
2900,"[17, 0, 2900, 132317, 126902, 2838, 1, 22483, 21150, 1, 2900, 111167, 104785, 1870, 0, 7693, 7472, 2, 2900, 103695, 97041, 1598, 0, 3506, 3454, 3, 2900, 100241, 93478, 1489, 0, 1829, 1813, 4, 2900, 98428, 91601, 1425, 0, 1004, 1000, 5, 2900, 97428, 90580, 1404, 0, 602, 602, 6, 2900, 96826, 89955, 1381, 0, 325, 325, 7, 2900, 96501, 89619, 1370, 0, 168, 167, 8, 2900, 96334, 89446, 1364, 0, 100, 100, 9, 2900, 96234, 89345, 1363, 0, 56, 56, 10, 2900, 96178, 89288, 1362, 0, 40, 40, 11, 2900, 96138, 89246, 1360, 0, 27, 27, 12, 2900, 96111, 89218, 1359, 0, 16, 16, 13, 2900, 96095, 89201, 1358, 0, 8, 8, 14, 2900, 96087, 89193, 1358, 0, 7, 7, 15, 2900, 96080, 89186, 1358, 0, 4, 4, 16, 2900, 96076, 89182, 1358, 0, 1, 1, 17, 2900, 96075, 89181, 1358, 0, 0, 0]"
3000,"[17, 0, 3000, 139899, 134853, 3002, 2, 23290, 21945, 1, 3000, 117954, 111906, 1999, 1, 7888, 7691, 2, 3000, 110263, 103939, 1723, 1, 3540, 3499, 3, 3000, 106764, 100321, 1603, 0, 1823, 1809, 4, 3000, 104955, 98461, 1552, 0, 961, 958, 5, 3000, 103997, 97475, 1524, 0, 521, 521, 6, 3000, 103476, 96934, 1504, 0, 305, 305, 7, 3000, 103171, 96616, 1491, 0, 184, 183, 8, 3000, 102988, 96425, 1483, 0, 114, 114, 9, 3000, 102874, 96307, 1479, 0, 73, 73, 10, 3000, 102801, 96233, 1478, 0, 46, 46, 11, 3000, 102755, 96186, 1477, 0, 32, 32, 12, 3000, 102723, 96154, 1477, 0, 18, 18, 13, 3000, 102705, 96136, 1477, 0, 18, 18, 14, 3000, 102687, 96117, 1476, 0, 7, 7, 15, 3000, 102680, 96110, 1476, 0, 5, 5, 16, 3000, 102675, 96105, 1476, 0, 1, 1, 17, 3000, 102674, 96104, 1476, 0, 0, 0]"
