n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1100,"[22, 0, 1100, 31048, 29913, 1116, 1, 5355, 5034, 1, 1100, 26014, 24481, 717, 0, 1910, 1840, 2, 1100, 24174, 22523, 599, 0, 970, 951, 3, 1100, 23223, 21508, 535, 0, 521, 517, 4, 1100, 22706, 20976, 520, 0, 311, 310, 5, 1100, 22396, 20650, 504, 0, 172, 172, 6, 1100, 22224, 20471, 497, 0, 122, 122, 7, 1100, 22102, 20347, 495, 0, 82, 82, 8, 1100, 22020, 20262, 492, 0, 59, 57, 9, 1100, 21963, 20203, 490, 0, 50, 50, 10, 1100, 21913, 20153, 490, 0, 41, 40, 11, 1100, 21873, 20113, 490, 0, 36, 33, 12, 1100, 21840, 20079, 489, 0, 24, 24, 13, 1100, 21816, 20052, 486, 0, 18, 18, 14, 1100, 21798, 20033, 485, 0, 10, 10, 15, 1100, 21788, 20023, 485, 0, 9, 9, 16, 1100, 21779, 20014, 485, 0, 8, 8, 17, 1100, 21771, 20006, 485, 0, 7, 7, 18, 1100, 21764, 19998, 484, 0, 7, 7, 19, 1100, 21757, 19991, 484, 0, 3, 3, 20, 1100, 21754, 19988, 484, 0, 1, 1, 21, 1100, 21753, 19987, 484, 0, 1, 1, 22, 1100, 21752, 19986, 484, 0, 0, 0]"
1200,"[20, 0, 1200, 35437, 34506, 1255, 5, 6037, 5683, 1, 1200, 29754, 28355, 783, 1, 2075, 1998, 2, 1200, 27756, 26242, 668, 1, 956, 942, 3, 1200, 26814, 25255, 623, 1, 525, 522, 4, 1200, 26292, 24704, 594, 1, 325, 323, 5, 1200, 25969, 24366, 579, 1, 192, 192, 6, 1200, 25777, 24156, 561, 1, 102, 102, 7, 1200, 25675, 24050, 557, 1, 60, 60, 8, 1200, 25615, 23987, 554, 1, 41, 41, 9, 1200, 25574, 23942, 550, 1, 21, 21, 10, 1200, 25553, 23919, 548, 1, 17, 17, 11, 1200, 25536, 23901, 547, 1, 12, 12, 12, 1200, 25524, 23889, 547, 1, 10, 9, 13, 1200, 25515, 23880, 547, 1, 8, 8, 14, 1200, 25507, 23871, 546, 1, 3, 3, 15, 1200, 25504, 23868, 546, 1, 3, 3, 16, 1200, 25501, 23865, 546, 1, 3, 3, 17, 1200, 25498, 23862, 546, 1, 4, 4, 18, 1200, 25494, 23858, 546, 1, 2, 2, 19, 1200, 25492, 23856, 546, 1, 1, 1, 20, 1200, 25491, 23855, 546, 1, 0, 0]"
1300,"[15, 0, 1300, 39763, 38444, 1328, 0, 6705, 6283, 1, 1300, 33480, 31676, 843, 0, 2327, 2259, 2, 1300, 31221, 29262, 688, 0, 1127, 1106, 3, 1300, 30115, 28109, 641, 0, 620, 615, 4, 1300, 29500, 27471, 618, 0, 380, 378, 5, 1300, 29122, 27074, 599, 0, 248, 246, 6, 1300, 28876, 26817, 588, 0, 152, 152, 7, 1300, 28724, 26659, 582, 0, 104, 104, 8, 1300, 28620, 26545, 572, 0, 59, 59, 9, 1300, 28561, 26481, 567, 0, 33, 33, 10, 1300, 28528, 26446, 565, 0, 27, 27, 11, 1300, 28501, 26418, 564, 0, 12, 12, 12, 1300, 28489, 26406, 564, 0, 9, 9, 13, 1300, 28480, 26397, 564, 0, 5, 5, 14, 1300, 28475, 26392, 564, 0, 2, 2, 15, 1300, 28473, 26390, 564, 0, 0, 0]"
1400,"[20, 0, 1400, 44510, 42721, 1429, 2, 7748, 7290, 1, 1400, 37220, 34930, 926, 0, 2738, 2646, 2, 1400, 34574, 32130, 772, 0, 1338, 1311, 3, 1400, 33263, 30755, 708, 0, 728, 724, 4, 1400, 32539, 29999, 676, 0, 430, 425, 5, 1400, 32114, 29555, 657, 0, 251, 250, 6, 1400, 31864, 29301, 653, 0, 171, 169, 7, 1400, 31695, 29124, 645, 0, 103, 103, 8, 1400, 31592, 29021, 645, 0, 75, 75, 9, 1400, 31517, 28943, 642, 0, 48, 48, 10, 1400, 31469, 28892, 639, 0, 36, 36, 11, 1400, 31433, 28856, 639, 0, 21, 21, 12, 1400, 31412, 28834, 638, 0, 15, 15, 13, 1400, 31397, 28819, 638, 0, 7, 7, 14, 1400, 31390, 28812, 638, 0, 4, 4, 15, 1400, 31386, 28808, 638, 0, 4, 4, 16, 1400, 31382, 28804, 638, 0, 2, 2, 17, 1400, 31380, 28802, 638, 0, 4, 4, 18, 1400, 31376, 28798, 638, 0, 3, 3, 19, 1400, 31373, 28795, 638, 0, 1, 1, 20, 1400, 31372, 28794, 638, 0, 0, 0]"
1500,"[16, 0, 1500, 49372, 47469, 1506, 2, 8535, 8021, 1, 1500, 41351, 38903, 959, 0, 3036, 2934, 2, 1500, 38417, 35789, 779, 0, 1447, 1426, 3, 1500, 36991, 34310, 726, 0, 821, 814, 4, 1500, 36177, 33466, 696, 0, 510, 504, 5, 1500, 35673, 32945, 679, 0, 328, 326, 6, 1500, 35347, 32610, 670, 0, 218, 216, 7, 1500, 35131, 32384, 660, 0, 132, 130, 8, 1500, 35001, 32250, 656, 0, 82, 80, 9, 1500, 34921, 32167, 653, 0, 58, 58, 10, 1500, 34863, 32106, 650, 0, 41, 41, 11, 1500, 34822, 32063, 648, 0, 22, 22, 12, 1500, 34800, 32041, 648, 0, 9, 9, 13, 1500, 34791, 32032, 648, 0, 4, 4, 14, 1500, 34787, 32028, 648, 0, 3, 3, 15, 1500, 34784, 32025, 648, 0, 1, 1, 16, 1500, 34783, 32024, 648, 0, 0, 0]"
1600,"[24, 0, 1600, 53630, 50030, 1458, 0, 9793, 9171, 1, 1600, 44459, 40294, 893, 0, 3608, 3480, 2, 1600, 40979, 36647, 726, 0, 1819, 1781, 3, 1600, 39198, 34787, 647, 0, 1044, 1026, 4, 1600, 38172, 33722, 608, 0, 627, 622, 5, 1600, 37550, 33085, 593, 0, 417, 411, 6, 1600, 37139, 32654, 573, 0, 286, 281, 7, 1600, 36858, 32364, 564, 0, 178, 178, 8, 1600, 36680, 32172, 550, 0, 107, 107, 9, 1600, 36573, 32061, 546, 0, 68, 68, 10, 1600, 36505, 31990, 543, 0, 42, 42, 11, 1600, 36463, 31947, 542, 0, 31, 31, 12, 1600, 36432, 31915, 541, 0, 23, 23, 13, 1600, 36409, 31891, 540, 0, 12, 12, 14, 1600, 36397, 31878, 539, 0, 6, 6, 15, 1600, 36391, 31872, 539, 0, 6, 6, 16, 1600, 36385, 31866, 539, 0, 3, 3, 17, 1600, 36382, 31863, 539, 0, 2, 2, 18, 1600, 36380, 31861, 539, 0, 3, 3, 19, 1600, 36377, 31857, 538, 0, 3, 3, 20, 1600, 36374, 31854, 538, 0, 3, 3, 21, 1600, 36371, 31851, 538, 0, 1, 1, 22, 1600, 36370, 31850, 538, 0, 1, 1, 23, 1600, 36369, 31849, 538, 0, 1, 1, 24, 1600, 36368, 31848, 538, 0, 0, 0]"
1700,"[20, 0, 1700, 59392, 56580, 1658, 1, 10582, 9903, 1, 1700, 49489, 46065, 1045, 0, 3665, 3555, 2, 1700, 45934, 42313, 848, 0, 1766, 1737, 3, 1700, 44197, 40495, 767, 0, 1009, 997, 4, 1700, 43200, 39455, 724, 0, 583, 576, 5, 1700, 42624, 38860, 705, 0, 362, 358, 6, 1700, 42266, 38486, 689, 0, 233, 232, 7, 1700, 42034, 38241, 676, 0, 154, 154, 8, 1700, 41880, 38079, 668, 0, 101, 101, 9, 1700, 41779, 37977, 667, 0, 62, 62, 10, 1700, 41717, 37911, 663, 0, 37, 37, 11, 1700, 41680, 37874, 663, 0, 29, 29, 12, 1700, 41651, 37843, 661, 0, 20, 20, 13, 1700, 41631, 37823, 661, 0, 15, 15, 14, 1700, 41616, 37808, 661, 0, 12, 12, 15, 1700, 41604, 37796, 661, 0, 11, 11, 16, 1700, 41593, 37785, 661, 0, 7, 7, 17, 1700, 41586, 37778, 661, 0, 2, 2, 18, 1700, 41584, 37776, 661, 0, 1, 1, 19, 1700, 41583, 37775, 661, 0, 1, 1, 20, 1700, 41582, 37774, 661, 0, 0, 0]"
1800,"[20, 0, 1800, 64901, 62206, 1788, 0, 11188, 10516, 1, 1800, 54385, 51071, 1169, 0, 3850, 3741, 2, 1800, 50644, 47149, 988, 0, 1901, 1872, 3, 1800, 48772, 45208, 919, 0, 1034, 1024, 4, 1800, 47748, 44152, 887, 0, 569, 563, 5, 1800, 47185, 43562, 860, 0, 329, 326, 6, 1800, 46859, 43223, 847, 0, 184, 182, 7, 1800, 46677, 43036, 842, 0, 105, 104, 8, 1800, 46573, 42929, 839, 0, 71, 71, 9, 1800, 46502, 42854, 835, 0, 48, 48, 10, 1800, 46454, 42804, 833, 0, 23, 23, 11, 1800, 46431, 42780, 832, 0, 19, 19, 12, 1800, 46412, 42759, 830, 0, 11, 11, 13, 1800, 46401, 42747, 829, 0, 9, 9, 14, 1800, 46392, 42738, 829, 0, 3, 3, 15, 1800, 46389, 42735, 829, 0, 5, 5, 16, 1800, 46384, 42730, 829, 0, 2, 2, 17, 1800, 46382, 42728, 829, 0, 2, 2, 18, 1800, 46380, 42726, 829, 0, 2, 2, 19, 1800, 46378, 42724, 829, 0, 1, 1, 20, 1800, 46377, 42723, 829, 0, 0, 0]"
1900,"[21, 0, 1900, 70285, 67523, 1854, 3, 12033, 11305, 1, 1900, 58980, 55559, 1194, 2, 4193, 4080, 2, 1900, 54900, 51302, 1016, 1, 1962, 1928, 3, 1900, 52972, 49294, 936, 1, 1033, 1017, 4, 1900, 51955, 48235, 894, 1, 562, 559, 5, 1900, 51396, 47662, 880, 1, 351, 348, 6, 1900, 51048, 47302, 868, 1, 201, 201, 7, 1900, 50847, 47091, 858, 1, 110, 109, 8, 1900, 50738, 46978, 853, 0, 69, 69, 9, 1900, 50669, 46905, 849, 0, 39, 39, 10, 1900, 50630, 46866, 849, 0, 25, 25, 11, 1900, 50605, 46841, 849, 0, 14, 14, 12, 1900, 50591, 46827, 849, 0, 9, 9, 13, 1900, 50582, 46818, 849, 0, 8, 8, 14, 1900, 50574, 46809, 848, 0, 7, 7, 15, 1900, 50567, 46802, 848, 0, 2, 2, 16, 1900, 50565, 46800, 848, 0, 1, 1, 17, 1900, 50564, 46799, 848, 0, 1, 1, 18, 1900, 50563, 46798, 848, 0, 1, 1, 19, 1900, 50562, 46797, 848, 0, 1, 1, 20, 1900, 50561, 46796, 848, 0, 1, 1, 21, 1900, 50560, 46795, 848, 0, 0, 0]"
2000,"[22, 0, 2000, 76032, 74055, 2142, 1, 12622, 11904, 1, 2000, 64128, 61404, 1394, 0, 4354, 4233, 2, 2000, 59895, 56960, 1183, 0, 1970, 1942, 3, 2000, 57953, 54953, 1118, 0, 1027, 1014, 4, 2000, 56939, 53897, 1076, 0, 569, 567, 5, 2000, 56372, 53315, 1061, 0, 318, 317, 6, 2000, 56055, 52989, 1052, 0, 186, 185, 7, 2000, 55870, 52800, 1048, 0, 114, 113, 8, 2000, 55757, 52683, 1044, 0, 71, 71, 9, 2000, 55686, 52610, 1042, 0, 37, 37, 10, 2000, 55649, 52572, 1041, 0, 22, 22, 11, 2000, 55627, 52549, 1040, 0, 13, 13, 12, 2000, 55614, 52536, 1040, 0, 9, 9, 13, 2000, 55605, 52527, 1040, 0, 8, 8, 14, 2000, 55597, 52519, 1040, 0, 4, 4, 15, 2000, 55593, 52515, 1040, 0, 4, 4, 16, 2000, 55589, 52511, 1040, 0, 3, 3, 17, 2000, 55586, 52507, 1039, 0, 2, 2, 18, 2000, 55584, 52505, 1039, 0, 2, 2, 19, 2000, 55582, 52503, 1039, 0, 2, 2, 20, 2000, 55580, 52501, 1039, 0, 1, 1, 21, 2000, 55579, 52500, 1039, 0, 1, 1, 22, 2000, 55578, 52499, 1039, 0, 0, 0]"
