c,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1.1700000000000002,"[6, 0, 1500, 34120, 15832, 171, 0, 12149, 9309, 1, 1500, 24811, 6382, 30, 0, 5597, 4095, 2, 1500, 20716, 2260, 3, 0, 2710, 1731, 3, 1500, 18985, 526, 0, 0, 900, 474, 4, 1500, 18511, 52, 0, 0, 90, 49, 5, 1500, 18462, 3, 0, 0, 9, 3, 6, 1500, 18459, 0, 0, 0, 0, 0]"
1.1800000000000002,"[6, 0, 1500, 34318, 15749, 154, 0, 12150, 9239, 1, 1500, 25079, 6381, 25, 0, 5494, 4008, 2, 1500, 21071, 2352, 4, 0, 2696, 1760, 3, 1500, 19311, 589, 1, 0, 879, 511, 4, 1500, 18800, 77, 0, 0, 161, 74, 5, 1500, 18726, 3, 0, 0, 7, 3, 6, 1500, 18723, 0, 0, 0, 0, 0]"
1.1900000000000002,"[6, 0, 1500, 34585, 16548, 198, 0, 11999, 9291, 1, 1500, 25294, 7096, 37, 0, 5635, 4236, 2, 1500, 21058, 2828, 5, 0, 2993, 1992, 3, 1500, 19066, 832, 1, 0, 1199, 690, 4, 1500, 18376, 141, 0, 0, 269, 133, 5, 1500, 18243, 8, 0, 0, 24, 8, 6, 1500, 18235, 0, 0, 0, 0, 0]"
1.2000000000000002,"[6, 0, 1500, 34729, 16609, 169, 0, 12167, 9447, 1, 1500, 25282, 7017, 24, 0, 5768, 4298, 2, 1500, 20984, 2699, 4, 0, 2945, 1950, 3, 1500, 19034, 745, 0, 0, 1084, 619, 4, 1500, 18415, 126, 0, 0, 195, 90, 5, 1500, 18325, 36, 0, 0, 23, 12, 6, 1500, 18313, 24, 0, 0, 0, 0]"
1.2100000000000002,"[6, 0, 1500, 34865, 16770, 173, 0, 12154, 9462, 1, 1500, 25403, 7163, 28, 0, 5654, 4260, 2, 1500, 21143, 2882, 7, 0, 3036, 2035, 3, 1500, 19108, 842, 2, 0, 1148, 686, 4, 1500, 18422, 154, 0, 0, 268, 139, 5, 1500, 18283, 15, 0, 0, 35, 15, 6, 1500, 18268, 0, 0, 0, 0, 0]"
1.2200000000000002,"[6, 0, 1500, 35363, 17488, 200, 0, 12261, 9570, 1, 1500, 25793, 7769, 51, 0, 5727, 4385, 2, 1500, 21408, 3344, 11, 0, 3166, 2258, 3, 1500, 19150, 1076, 1, 0, 1435, 876, 4, 1500, 18274, 199, 0, 0, 376, 190, 5, 1500, 18084, 9, 0, 0, 21, 9, 6, 1500, 18075, 0, 0, 0, 0, 0]"
1.2300000000000002,"[6, 0, 1500, 35640, 18061, 205, 0, 12340, 9754, 1, 1500, 25886, 8146, 44, 0, 5924, 4562, 2, 1500, 21324, 3547, 7, 0, 3325, 2370, 3, 1500, 18954, 1171, 1, 0, 1562, 934, 4, 1500, 18020, 236, 0, 0, 412, 219, 5, 1500, 17801, 17, 0, 0, 39, 17, 6, 1500, 17784, 0, 0, 0, 0, 0]"
1.2400000000000002,"[8, 0, 1500, 36021, 18549, 233, 0, 12139, 9617, 1, 1500, 26404, 8733, 34, 0, 5867, 4591, 2, 1500, 21813, 4117, 9, 0, 3536, 2583, 3, 1500, 19230, 1527, 2, 0, 1759, 1124, 4, 1500, 18106, 401, 0, 0, 613, 339, 5, 1500, 17767, 62, 0, 0, 106, 50, 6, 1500, 17717, 12, 0, 0, 14, 10, 7, 1500, 17707, 2, 0, 0, 6, 2, 8, 1500, 17705, 0, 0, 0, 0, 0]"
1.2500000000000002,"[7, 0, 1500, 36640, 19759, 273, 0, 11965, 9682, 1, 1500, 26958, 9865, 61, 0, 5938, 4731, 2, 1500, 22227, 5089, 16, 0, 3565, 2749, 3, 1500, 19478, 2325, 1, 0, 2183, 1540, 4, 1500, 17938, 784, 0, 0, 1050, 644, 5, 1500, 17294, 140, 0, 0, 261, 132, 6, 1500, 17162, 8, 0, 0, 24, 8, 7, 1500, 17154, 0, 0, 0, 0, 0]"
1.2600000000000002,"[7, 0, 1500, 36649, 19499, 212, 0, 12369, 9907, 1, 1500, 26742, 9429, 49, 0, 6080, 4787, 2, 1500, 21955, 4602, 9, 0, 3688, 2745, 3, 1500, 19210, 1850, 2, 0, 2023, 1347, 4, 1500, 17863, 502, 1, 0, 708, 423, 5, 1500, 17440, 78, 0, 0, 146, 69, 6, 1500, 17371, 9, 0, 0, 15, 9, 7, 1500, 17362, 0, 0, 0, 0, 0]"
