n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1600,"[6, 0, 1600, 63851, 84530, 4105, 9, 5303, 5198, 1, 1600, 58653, 78739, 3509, 6, 992, 982, 2, 1600, 57671, 77658, 3408, 4, 233, 233, 3, 1600, 57438, 77402, 3385, 4, 60, 60, 4, 1600, 57378, 77334, 3377, 4, 21, 21, 5, 1600, 57357, 77309, 3373, 4, 4, 4, 6, 1600, 57353, 77304, 3372, 4, 0, 0]"
1700,"[6, 0, 1700, 70150, 94037, 4671, 18, 5637, 5515, 1, 1700, 64635, 87830, 3973, 12, 893, 887, 2, 1700, 63748, 86846, 3874, 10, 180, 180, 3, 1700, 63568, 86654, 3862, 10, 44, 44, 4, 1700, 63524, 86601, 3853, 10, 10, 10, 5, 1700, 63514, 86590, 3852, 10, 4, 4, 6, 1700, 63510, 86584, 3850, 10, 0, 0]"
1800,"[7, 0, 1800, 76514, 102251, 4753, 6, 6189, 6051, 1, 1800, 70463, 95502, 4053, 4, 1058, 1052, 2, 1800, 69411, 94346, 3949, 4, 227, 226, 3, 1800, 69185, 94090, 3919, 4, 62, 62, 4, 1800, 69123, 94023, 3914, 4, 13, 13, 5, 1800, 69110, 94008, 3912, 4, 2, 2, 6, 1800, 69108, 94006, 3912, 4, 1, 1, 7, 1800, 69107, 94005, 3912, 4, 0, 0]"
1900,"[5, 0, 1900, 83210, 112692, 5474, 14, 6698, 6561, 1, 1900, 76649, 105407, 4749, 13, 1128, 1122, 2, 1900, 75527, 104145, 4608, 12, 203, 203, 3, 1900, 75324, 103920, 4586, 12, 35, 35, 4, 1900, 75289, 103882, 4583, 12, 4, 4, 5, 1900, 75285, 103878, 4583, 12, 0, 0]"
2000,"[6, 0, 2000, 89072, 117583, 5234, 7, 7470, 7315, 1, 2000, 81757, 109453, 4417, 5, 1320, 1312, 2, 2000, 80445, 108009, 4285, 5, 262, 262, 3, 2000, 80183, 107728, 4266, 5, 62, 62, 4, 2000, 80121, 107660, 4260, 5, 14, 14, 5, 2000, 80107, 107644, 4258, 5, 2, 2, 6, 2000, 80105, 107642, 4258, 5, 0, 0]"
2100,"[8, 0, 2100, 96369, 128320, 5607, 8, 7810, 7641, 1, 2100, 88728, 119856, 4784, 8, 1370, 1364, 2, 2100, 87364, 118374, 4666, 8, 279, 279, 3, 2100, 87085, 118054, 4625, 8, 66, 66, 4, 2100, 87019, 117986, 4623, 8, 20, 20, 5, 2100, 86999, 117964, 4621, 8, 1, 1, 6, 2100, 86998, 117963, 4621, 8, 1, 1, 7, 2100, 86997, 117962, 4621, 8, 1, 1, 8, 2100, 86996, 117961, 4621, 8, 0, 0]"
2200,"[7, 0, 2200, 103571, 138543, 5969, 8, 8232, 8062, 1, 2200, 95509, 129643, 5130, 7, 1355, 1347, 2, 2200, 94162, 128171, 5005, 7, 255, 255, 3, 2200, 93907, 127894, 4983, 7, 66, 66, 4, 2200, 93841, 127821, 4976, 7, 13, 13, 5, 2200, 93828, 127807, 4975, 7, 3, 3, 6, 2200, 93825, 127804, 4975, 7, 1, 1, 7, 2200, 93824, 127802, 4974, 7, 0, 0]"
2300,"[6, 0, 2300, 110239, 146659, 6209, 10, 8941, 8735, 1, 2300, 101504, 137068, 5351, 8, 1469, 1465, 2, 2300, 100039, 135483, 5230, 7, 332, 330, 3, 2300, 99709, 135118, 5195, 7, 76, 76, 4, 2300, 99633, 135037, 5190, 7, 19, 19, 5, 2300, 99614, 135017, 5189, 7, 4, 4, 6, 2300, 99610, 135013, 5189, 7, 0, 0]"
2400,"[6, 0, 2400, 117003, 154319, 6248, 10, 9612, 9397, 1, 2400, 107606, 143999, 5323, 8, 1617, 1609, 2, 2400, 105997, 142235, 5167, 7, 320, 319, 3, 2400, 105678, 141899, 5150, 7, 69, 69, 4, 2400, 105609, 141826, 5146, 7, 14, 14, 5, 2400, 105595, 141811, 5145, 7, 6, 6, 6, 2400, 105589, 141804, 5144, 7, 0, 0]"
2500,"[7, 0, 2500, 125119, 167803, 6776, 12, 9774, 9568, 1, 2500, 115551, 157295, 5833, 9, 1626, 1616, 2, 2500, 113935, 155559, 5712, 8, 294, 294, 3, 2500, 113641, 155239, 5686, 8, 60, 60, 4, 2500, 113581, 155177, 5684, 8, 15, 15, 5, 2500, 113566, 155162, 5684, 8, 3, 3, 6, 2500, 113563, 155159, 5684, 8, 1, 1, 7, 2500, 113562, 155158, 5684, 8, 0, 0]"
2600,"[7, 0, 2600, 132893, 178428, 6942, 10, 10298, 10074, 1, 2600, 122819, 167478, 6064, 8, 1650, 1641, 2, 2600, 121178, 165684, 5910, 7, 323, 323, 3, 2600, 120855, 165342, 5891, 7, 68, 68, 4, 2600, 120787, 165268, 5885, 7, 13, 13, 5, 2600, 120774, 165253, 5883, 7, 3, 3, 6, 2600, 120771, 165250, 5883, 7, 1, 1, 7, 2600, 120770, 165249, 5883, 7, 0, 0]"
